text,intent,category
income of 2267 from scholarship on 06 February,add_income,
bye,goodbye,
Got 150 rupees as a reward,add_income,
I earned 400 for helping my neighbor,add_income,
How much did I spend on entertainment?,show_by_category,
Give me the list of all expenses,show_expenses,
spent on outings,show_by_category,
Display expense list,show_expenses,
Received 1300 rupees for part-time coding,add_income,
transport expense of 595 added on 15 December,add_expense,
Expenses for travel,show_by_category,
Show my expenses,show_expenses,
how much did I spend in april,show_by_month,
income of 1699 from freelancing on 30 November,add_income,
how much did I spend in april,show_by_month,
record 884 spent on entertainment dated 21 April,add_expense,
march balance details,show_by_month,
Expenses till now?,show_expenses,
Show all my spending history,show_expenses,
income of 766 from part-time job on 02 November,add_income,
Spent anything on rent?,show_by_category,
How much did I spend on clothing?,show_by_category,
Show all my spending history,show_expenses,
add 500 for transport on 01 February,add_expense,
Show my food expenses,show_by_category,
What are my past expenses?,show_expenses,
give me October stats,show_by_month,
record 2261 earned from part-time job on 15 April,add_income,
July spending summary,show_by_month,
Paid 380 rupees for course materials,add_expense,
Spent anything on groceries?,show_by_category,
Fetch all my expenses,show_expenses,
show expenses for April,show_by_month,
what did I spend in january,show_by_month,
Gave 1000 rupees for rent,add_expense,
what did I spend in january,show_by_month,
record 656 spent on rent dated 12 March,add_expense,
march balance details,show_by_month,
see you later,goodbye,
Expenses for clothing,show_by_category,
thanks,thank_you,
hey there,greeting,
Expenses till now?,show_expenses,
Got 300 rupees refunded from cafeteria,add_income,
add 222 received from freelancing on 24 January,add_income,
give me february spending,show_by_month,
show my spending for December,show_by_month,
how much did I spend in april,show_by_month,
how much did I spend in april,show_by_month,
Received 100 rupees for survey participation,add_income,
Display all spending,show_expenses,
what did I spend in january,show_by_month,
Show my clothing expenses,show_by_category,
add 482 received from freelancing on 15 April,add_income,
transport expense of 605 added on 30 November,add_expense,
march balance details,show_by_month,
goodbye,goodbye,
good morning,greeting,
record 536 spent on fees dated 07 December,add_expense,
good morning,greeting,
Expenses for rent,show_by_category,
record 877 spent on entertainment dated 16 April,add_expense,
add 547 received from part-time job on 07 November,add_income,
Expenses for books,show_by_category,
How much did I spend on groceries?,show_by_category,
food expense of 474 added on 01 February,add_expense,
record 964 earned from freelancing on 01 December,add_income,
income of 2494 from part-time job on 06 April,add_income,
I received 450 as my share of a group order,add_income,
I spent 300 rupees on lunch today,add_expense,
how much did I spend in april,show_by_month,
I purchased headphones for 1200 rupees,add_expense,
record 591 earned from scholarship on 31 March,add_income,
Spent anything on books?,show_by_category,
Expenses for food,show_by_category,
add 874 for entertainment on 13 December,add_expense,
Expenses for fees,show_by_category,
Expenses for stationery,show_by_category,
food expense of 365 added on 31 December,add_expense,
"All expenses, please",show_expenses,
Show all my spending history,show_expenses,
record 307 earned from freelancing on 14 February,add_income,
add 254 for fees on 16 November,add_expense,
how much did I spend in april,show_by_month,
Shopping cost me around 2000 rupees,add_expense,
I want to see where my money went,show_expenses,
show me april expenses,show_by_month,
food expense of 787 added on 18 November,add_expense,
Fetch all my expenses,show_expenses,
How much did I spend on travel?,show_by_category,
food expense of 516 added on 09 December,add_expense,
Give me the expense record,show_expenses,
show me april expenses,show_by_month,
give me february spending,show_by_month,
Spent anything on stationery?,show_by_category,
add 1384 received from freelancing on 01 November,add_income,
Give me the list of all expenses,show_expenses,
Show my stationery expenses,show_by_category,
How much did I spend on food?,show_by_category,
I want to see all my spending,show_expenses,
Give me the expense record,show_expenses,
how much did I spend in april,show_by_month,
rent expense of 526 added on 09 April,add_expense,
Used 300 for online shopping,add_expense,
Give me the expense record,show_expenses,
hey there,greeting,
add 997 for fees on 20 February,add_expense,
June expenses,show_by_month,
record 1254 earned from part-time job on 03 November,add_income,
what did I spend in january,show_by_month,
I want to see all my spending,show_expenses,
Spent 700 on new shoes,add_expense,
add 277 for rent on 05 March,add_expense,
Expenses for clothing,show_by_category,
see you later,goodbye,
"All expenses, please",show_expenses,
show me april expenses,show_by_month,
I used 1100 rupees for festival shopping,add_expense,
Spent 1800 rupees on party arrangements,add_expense,
I received 900 for pet sitting,add_income,
Purchased a backpack for 950 rupees,add_expense,
Expenses for groceries,show_by_category,
give me february spending,show_by_month,
add 126 received from part-time job on 09 December,add_income,
Show me all expenses,show_expenses,
add 2397 received from scholarship on 26 December,add_income,
How much did I spend on travel?,show_by_category,
Show my expenses,show_expenses,
How much did I spend on books?,show_by_category,
income of 726 from dad on 03 March,add_income,
hello,greeting,
expenses of March,show_by_month,
thanks,thank_you,
show me april expenses,show_by_month,
goodbye,goodbye,
add 1285 received from dad on 30 December,add_income,
show me april expenses,show_by_month,
Got lunch and drinks for 450,add_expense,
What are my past expenses?,show_expenses,
Show my groceries expenses,show_by_category,
record 403 spent on rent dated 23 February,add_expense,
How much did I spend on miscellaneous?,show_by_category,
what did I spend in August,show_by_month,
add 904 for transport on 21 April,add_expense,
income of 2553 from freelancing on 24 November,add_income,
add 2351 received from scholarship on 23 March,add_income,
record 496 spent on transport dated 13 February,add_expense,
income of 1764 from dad on 02 February,add_income,
What have I spent?,show_expenses,
income of 1302 from freelancing on 19 December,add_income,
record 161 spent on food dated 18 January,add_expense,
Bought stationery items for 260,add_expense,
Display all spending,show_expenses,
what did I spend in August,show_by_month,
show me april expenses,show_by_month,
give me february spending,show_by_month,
Display expense list,show_expenses,
Tell me my expense history,show_expenses,
record 69 spent on rent dated 01 January,add_expense,
rent expense of 510 added on 03 December,add_expense,
income of 1570 from freelancing on 22 November,add_income,
What have I spent?,show_expenses,
Display expense list,show_expenses,
how much did I spend in april,show_by_month,
What are my past expenses?,show_expenses,
expenses for march,show_by_month,
see you later,goodbye,
My teacher gave me 500 rupees for printing work,add_income,
Gifted someone a book for 400 rupees,add_expense,
add 274 for rent on 18 April,add_expense,
income of 2904 from dad on 19 April,add_income,
add 1453 received from freelancing on 15 November,add_income,
record 601 spent on rent dated 06 December,add_expense,
Expenses for clothing,show_by_category,
how much did I spend in april,show_by_month,
transport expense of 290 added on 09 February,add_expense,
record 160 spent on transport dated 23 December,add_expense,
How much did I spend on travel?,show_by_category,
Got 1200 rupees from my parents,add_income,
Expenses for entertainment,show_by_category,
show expenses for April,show_by_month,
goodbye,goodbye,
Fetch all my expenses,show_expenses,
give me february spending,show_by_month,
how much did I spend in april,show_by_month,
show me april expenses,show_by_month,
spent on outings,show_by_category,
Show all my spending history,show_expenses,
show me april expenses,show_by_month,
Give me the expense record,show_expenses,
record 480 spent on fees dated 27 March,add_expense,
Show all my spending history,show_expenses,
record 622 spent on entertainment dated 08 December,add_expense,
June expenses,show_by_month,
record 519 earned from dad on 31 January,add_income,
How much did I spend on entertainment?,show_by_category,
How much did I spend on miscellaneous?,show_by_category,
food expense of 775 added on 28 February,add_expense,
add 968 for rent on 15 April,add_expense,
what did I spend in january,show_by_month,
expenses for books,show_by_category,
Spent 275 on Uber today,add_expense,
Expenses till now?,show_expenses,
entertainment expense of 168 added on 31 January,add_expense,
Spent 220 rupees on a gym session,add_expense,
add 385 for rent on 14 March,add_expense,
record 1086 earned from freelancing on 15 April,add_income,
I bought groceries worth 800 rupees,add_expense,
Show my books expenses,show_by_category,
what did I spend in january,show_by_month,
record 383 earned from scholarship on 21 November,add_income,
Show all my spending history,show_expenses,
income of 479 from freelancing on 05 March,add_income,
Spent anything on fees?,show_by_category,
Expenses for books,show_by_category,
record 958 earned from part-time job on 16 April,add_income,
My brother sent 800 rupees,add_income,
How much did I spend on rent?,show_by_category,
how much did I spend in april,show_by_month,
income of 1268 from scholarship on 29 October,add_income,
How much did I spend on food?,show_by_category,
add 2464 received from part-time job on 17 February,add_income,
appreciate it,thank_you,
record 2509 earned from freelancing on 09 December,add_income,
Expenses for food,show_by_category,
record 135 spent on food dated 31 January,add_expense,
thanks a lot,thank_you,
income of 975 from scholarship on 27 March,add_income,
record 2309 earned from dad on 12 December,add_income,
expenses for march,show_by_month,
entertainment expense of 720 added on 06 February,add_expense,
rent expense of 334 added on 21 December,add_expense,
add 441 for food on 28 December,add_expense,
give me October stats,show_by_month,
record 221 spent on transport dated 04 April,add_expense,
List my expenses,show_expenses,
what did I spend in january,show_by_month,
How much did I spend on entertainment?,show_by_category,
Fetch all my expenses,show_expenses,
Give me the list of all expenses,show_expenses,
thanks a lot,thank_you,
record 377 spent on transport dated 07 April,add_expense,
I want to see all my spending,show_expenses,
good morning,greeting,
expenses for march,show_by_month,
give me february spending,show_by_month,
What are my past expenses?,show_expenses,
Show my books expenses,show_by_category,
what did I spend in january,show_by_month,
Display all spending,show_expenses,
add 278 for fees on 30 March,add_expense,
Had to pay 200 for parking,add_expense,
income of 362 from dad on 22 January,add_income,
I want to see where my money went,show_expenses,
I want to check my expenses,show_expenses,
how much did I spend on food,show_by_category,
record 977 earned from scholarship on 28 February,add_income,
how much did I spend in april,show_by_month,
entertainment expense of 103 added on 30 November,add_expense,
record 2605 earned from part-time job on 01 December,add_income,
show me april expenses,show_by_month,
Display expense list,show_expenses,
hi,greeting,
thanks a lot,thank_you,
I want to see where my money went,show_expenses,
show me april expenses,show_by_month,
How much did I spend on fees?,show_by_category,
Expenses for clothing,show_by_category,
good evening,greeting,
spent on outings,show_by_category,
Paid 600 for monthly internet,add_expense,
income of 1834 from part-time job on 15 November,add_income,
Spent anything on stationery?,show_by_category,
Display expense list,show_expenses,
Earned 2200 through online course sales,add_income,
How much did I spend on entertainment?,show_by_category,
rent expense of 188 added on 13 February,add_expense,
income of 1613 from dad on 27 November,add_income,
Expenses for travel,show_by_category,
Spent anything on food?,show_by_category,
add 113 for rent on 03 February,add_expense,
Fetch all my expenses,show_expenses,
record 1110 earned from dad on 12 March,add_income,
record 577 spent on transport dated 11 November,add_expense,
how much did I spend in May,show_by_month,
How much did I spend on books?,show_by_category,
march balance details,show_by_month,
how much did I spend on food,show_by_category,
add 2366 received from freelancing on 21 April,add_income,
Spent anything on books?,show_by_category,
rent expense of 766 added on 01 December,add_expense,
How much did I spend on entertainment?,show_by_category,
add 538 for rent on 24 November,add_expense,
Spent anything on entertainment?,show_by_category,
Show my rent expenses,show_by_category,
what did I spend in january,show_by_month,
add 715 for fees on 14 December,add_expense,
show food expenses,show_by_category,
food expense of 730 added on 28 January,add_expense,
I want to see where my money went,show_expenses,
record 970 earned from part-time job on 05 December,add_income,
Show my stationery expenses,show_by_category,
add 596 for entertainment on 24 December,add_expense,
Received 1000 rupees as a scholarship,add_income,
Expenses till now?,show_expenses,
Expenses for groceries,show_by_category,
Spent anything on books?,show_by_category,
Spent anything on food?,show_by_category,
Collected 1100 from a friend for shared trip,add_income,
Fetch all my expenses,show_expenses,
hi,greeting,
how much did I spend in april,show_by_month,
Got 200 rupees as a donation,add_income,
Got 600 as part-time salary,add_income,
Spent anything on travel?,show_by_category,
Show all my spending history,show_expenses,
income of 1002 from scholarship on 27 March,add_income,
add 875 for fees on 06 March,add_expense,
Tell me my expense history,show_expenses,
income of 685 from scholarship on 15 February,add_income,
add 389 for entertainment on 07 December,add_expense,
add 1037 received from freelancing on 21 January,add_income,
how much did I spend in april,show_by_month,
income of 348 from freelancing on 23 January,add_income,
Fetch all my expenses,show_expenses,
Expenses for rent,show_by_category,
good evening,greeting,
record 927 spent on food dated 28 March,add_expense,
thank you,thank_you,
expenses for books,show_by_category,
Show my food expenses,show_by_category,
Expenses for travel,show_by_category,
fees expense of 573 added on 07 November,add_expense,
goodbye,goodbye,
Display all spending,show_expenses,
What are my past expenses?,show_expenses,
add 179 received from scholarship on 31 October,add_income,
show me april expenses,show_by_month,
add 991 received from part-time job on 19 December,add_income,
Can you show my expenses?,show_expenses,
I used 150 rupees on snacks,add_expense,
how much did I spend in april,show_by_month,
Show my food expenses,show_by_category,
income of 769 from dad on 14 December,add_income,
transport expense of 851 added on 17 December,add_expense,
Spent anything on groceries?,show_by_category,
rent expense of 384 added on 16 December,add_expense,
Show my entertainment expenses,show_by_category,
march balance details,show_by_month,
give me february spending,show_by_month,
show all September expenses,show_by_month,
Show my food expenses,show_by_category,
Expenses till now?,show_expenses,
What have I spent?,show_expenses,
How much did I spend on stationery?,show_by_category,
Got 2000 rupees as prize money,add_income,
record 127 spent on fees dated 04 November,add_expense,
income of 2518 from freelancing on 07 January,add_income,
record 1052 earned from dad on 01 January,add_income,
April balance,show_by_month,
record 409 spent on transport dated 20 February,add_expense,
expenses for march,show_by_month,
Spent anything on stationery?,show_by_category,
Expenses till now?,show_expenses,
Show me all expenses,show_expenses,
how much did I spend in May,show_by_month,
What did I spend money on?,show_expenses,
How much did I spend on books?,show_by_category,
add 1038 received from freelancing on 19 April,add_income,
record 646 spent on transport dated 16 February,add_expense,
How much did I spend on entertainment?,show_by_category,
Mobile recharge took 249 rupees,add_expense,
how much did I spend in april,show_by_month,
hey there,greeting,
Parents transferred 1200 rupees today,add_income,
record 332 earned from dad on 01 December,add_income,
What are my past expenses?,show_expenses,
hi,greeting,
Sold my old books for 400 rupees,add_income,
Show my travel expenses,show_by_category,
march balance details,show_by_month,
march balance details,show_by_month,
spent on outings,show_by_category,
I want to check my expenses,show_expenses,
Bought a plant for 170 rupees,add_expense,
Expenses till now?,show_expenses,
Expenses for groceries,show_by_category,
take care,goodbye,
Show my books expenses,show_by_category,
income of 2172 from dad on 31 January,add_income,
add 2817 received from part-time job on 10 March,add_income,
record 422 earned from scholarship on 09 December,add_income,
Tell me my expense history,show_expenses,
thanks a lot,thank_you,
Received cashback of 250 rupees,add_income,
add 869 for fees on 05 February,add_expense,
Display expense list,show_expenses,
record 371 spent on entertainment dated 02 February,add_expense,
Show all my spending history,show_expenses,
Refunded 950 rupees from hostel,add_income,
add 851 for entertainment on 18 November,add_expense,
income of 1376 from dad on 28 February,add_income,
record 920 spent on transport dated 16 April,add_expense,
Expenses for stationery,show_by_category,
income of 408 from dad on 25 March,add_income,
add 734 received from scholarship on 25 February,add_income,
Earned 750 doing odd jobs,add_income,
hey there,greeting,
How much did I spend on stationery?,show_by_category,
I want to see all my spending,show_expenses,
Expenses for travel,show_by_category,
add 1466 received from freelancing on 20 January,add_income,
How much did I spend on fees?,show_by_category,
what did I spend in january,show_by_month,
Fetch all my expenses,show_expenses,
appreciate it,thank_you,
Spent anything on clothing?,show_by_category,
Show my expenses,show_expenses,
Can you show my expenses?,show_expenses,
give me October stats,show_by_month,
expenses for march,show_by_month,
record 967 earned from scholarship on 19 February,add_income,
How much did I spend on clothing?,show_by_category,
How much did I spend on entertainment?,show_by_category,
show me april expenses,show_by_month,
Received birthday gift of 1500 rupees,add_income,
transport expense of 496 added on 22 October,add_expense,
record 369 spent on food dated 05 December,add_expense,
Expenses till now?,show_expenses,
Paid 3000 rupees for mobile repair,add_expense,
Received 700 as internship bonus,add_income,
thank you,thank_you,
how much did I spend in april,show_by_month,
I want to see where my money went,show_expenses,
June expenses,show_by_month,
Fetch all my expenses,show_expenses,
see you later,goodbye,
How much did I spend on rent?,show_by_category,
give me October stats,show_by_month,
Display expense list,show_expenses,
Expenses till now?,show_expenses,
Fetch all my expenses,show_expenses,
I want to see where my money went,show_expenses,
Display expense list,show_expenses,
What did I spend money on?,show_expenses,
add 490 for fees on 05 December,add_expense,
Show my food expenses,show_by_category,
add 791 for rent on 04 March,add_expense,
Show my rent expenses,show_by_category,
How much did I spend on groceries?,show_by_category,
I want to check my expenses,show_expenses,
How much did I spend on entertainment?,show_by_category,
record 625 earned from dad on 26 November,add_income,
record 450 earned from freelancing on 26 March,add_income,
how much did I spend in april,show_by_month,
hey there,greeting,
How much did I spend on clothing?,show_by_category,
record 2471 earned from dad on 02 March,add_income,
How much did I spend on food?,show_by_category,
Spent anything on food?,show_by_category,
What are my past expenses?,show_expenses,
thanks,thank_you,
Expenses till now?,show_expenses,
add 393 for entertainment on 16 December,add_expense,
see you later,goodbye,
I was paid 700 for design work,add_income,
My pizza order cost me 500 rupees,add_expense,
rent expense of 158 added on 04 November,add_expense,
record 685 spent on rent dated 12 February,add_expense,
I want to see all my spending,show_expenses,
How much did I spend on miscellaneous?,show_by_category,
Display expense list,show_expenses,
What have I spent?,show_expenses,
Show me all expenses,show_expenses,
how much did I spend in april,show_by_month,
thank you,thank_you,
Show me all expenses,show_expenses,
how much did I spend in april,show_by_month,
How much did I spend on clothing?,show_by_category,
food expense of 948 added on 07 November,add_expense,
Got 180 rupees through GPay cashback,add_income,
Paid a late fee of 150 rupees,add_expense,
Spent anything on clothing?,show_by_category,
Show my expenses,show_expenses,
Can you show my expenses?,show_expenses,
add 305 for entertainment on 08 November,add_expense,
Had to spend 220 rupees on repairs,add_expense,
record 2359 earned from scholarship on 03 February,add_income,
Expenses till now?,show_expenses,
I want to check my expenses,show_expenses,
spent on outings,show_by_category,
How much did I spend on entertainment?,show_by_category,
Spent anything on books?,show_by_category,
show me april expenses,show_by_month,
record 2792 earned from scholarship on 29 November,add_income,
Expenses for groceries,show_by_category,
I want to see where my money went,show_expenses,
Paid 600 rupees at a club,add_expense,
Earned 750 from a weekend gig,add_income,
Expenses till now?,show_expenses,
show me april expenses,show_by_month,
add 964 for food on 29 December,add_expense,
What have I spent?,show_expenses,
add 691 for rent on 29 October,add_expense,
how much did I spend in april,show_by_month,
Got reimbursed 950 from college,add_income,
How much did I spend on rent?,show_by_category,
record 1894 earned from part-time job on 24 November,add_income,
what did I spend in january,show_by_month,
I want to see where my money went,show_expenses,
show me april expenses,show_by_month,
"Paid for a taxi ride, it cost me 350",add_expense,
give me february spending,show_by_month,
expenses for march,show_by_month,
Show all my spending history,show_expenses,
goodbye,goodbye,
how much did I spend in april,show_by_month,
Can you show my expenses?,show_expenses,
Can you show my expenses?,show_expenses,
How much did I spend on groceries?,show_by_category,
What have I spent?,show_expenses,
Expenses for fees,show_by_category,
add 846 for food on 12 November,add_expense,
Used 700 rupees at the bookstore,add_expense,
income of 1240 from dad on 23 March,add_income,
record 680 spent on fees dated 09 April,add_expense,
Show all my spending history,show_expenses,
add 627 for food on 13 April,add_expense,
record 366 spent on entertainment dated 09 November,add_expense,
What have I spent?,show_expenses,
I paid 360 for a workshop,add_expense,
Received 900 rupees as travel reimbursement,add_income,
Display all spending,show_expenses,
record 534 spent on fees dated 24 October,add_expense,
record 1205 earned from scholarship on 02 January,add_income,
What have I spent?,show_expenses,
goodbye,goodbye,
add 935 for transport on 20 January,add_expense,
what did I spend in january,show_by_month,
June expenses,show_by_month,
Sold my bike accessories for 800 rupees,add_income,
List down all expenses,show_expenses,
Paid 320 for movie tickets,add_expense,
Display expense list,show_expenses,
income of 513 from dad on 01 February,add_income,
give me february spending,show_by_month,
Received 1600 for content writing,add_income,
take care,goodbye,
expenses of March,show_by_month,
give me february spending,show_by_month,
show me april expenses,show_by_month,
How much did I spend on groceries?,show_by_category,
add 2398 received from freelancing on 24 October,add_income,
I want to see where my money went,show_expenses,
Expenses for food,show_by_category,
record 120 spent on transport dated 13 December,add_expense,
record 2287 earned from dad on 21 March,add_income,
what did I spend in August,show_by_month,
Expenses for miscellaneous,show_by_category,
How much did I spend on entertainment?,show_by_category,
I want to see all my spending,show_expenses,
Show my fees expenses,show_by_category,
Expenses for books,show_by_category,
Can you show my expenses?,show_expenses,
Give me the expense record,show_expenses,
march balance details,show_by_month,
record 277 earned from part-time job on 14 November,add_income,
I want to see where my money went,show_expenses,
food expense of 970 added on 16 November,add_expense,
march balance details,show_by_month,
rent expense of 502 added on 17 November,add_expense,
How much did I spend on clothing?,show_by_category,
record 1957 earned from part-time job on 23 January,add_income,
Spent anything on entertainment?,show_by_category,
record 202 earned from freelancing on 14 December,add_income,
show me amount for food,show_by_category,
July spending summary,show_by_month,
Won 300 in a lucky draw,add_income,
Give me the list of all expenses,show_expenses,
June expenses,show_by_month,
I want to see where my money went,show_expenses,
add 617 for transport on 03 November,add_expense,
show me april expenses,show_by_month,
record 448 spent on rent dated 14 February,add_expense,
Show my food expenses,show_by_category,
Show my fees expenses,show_by_category,
how much did I spend in april,show_by_month,
add 206 for entertainment on 21 December,add_expense,
Display expense list,show_expenses,
How much did I spend on fees?,show_by_category,
march balance details,show_by_month,
record 636 earned from scholarship on 12 March,add_income,
List my expenses,show_expenses,
Expenses till now?,show_expenses,
expenses of March,show_by_month,
I want to see where my money went,show_expenses,
add 75 for fees on 04 December,add_expense,
June expenses,show_by_month,
Display expense list,show_expenses,
record 287 earned from freelancing on 31 December,add_income,
Expenses for clothing,show_by_category,
fees expense of 422 added on 01 December,add_expense,
Expenses for fees,show_by_category,
Expenses for stationery,show_by_category,
show expenses for April,show_by_month,
show me april expenses,show_by_month,
march balance details,show_by_month,
what did I spend in january,show_by_month,
add 879 received from scholarship on 10 February,add_income,
What did I spend money on?,show_expenses,
add 608 for fees on 04 December,add_expense,
Show my clothing expenses,show_by_category,
how much did I spend in april,show_by_month,
Received allowance of 1000 rupees,add_income,
My friend returned 400 rupees he owed,add_income,
show food expenses,show_by_category,
expenses for march,show_by_month,
I want to see where my money went,show_expenses,
Fetch all my expenses,show_expenses,
add 724 for fees on 14 April,add_expense,
thanks,thank_you,
Show my travel expenses,show_by_category,
Expenses for food,show_by_category,
what did I spend in january,show_by_month,
income of 2799 from freelancing on 10 January,add_income,
give me february spending,show_by_month,
July spending summary,show_by_month,
add 773 for fees on 12 January,add_expense,
add 595 received from scholarship on 10 January,add_income,
march balance details,show_by_month,
Paid 240 rupees for haircut,add_expense,
what did I spend in january,show_by_month,
record 2835 earned from freelancing on 29 January,add_income,
What did I spend money on?,show_expenses,
march balance details,show_by_month,
What are my past expenses?,show_expenses,
Spent anything on travel?,show_by_category,
food expense of 448 added on 07 November,add_expense,
Bought a jacket worth 1600 rupees,add_expense,
record 2892 earned from freelancing on 16 December,add_income,
What are my past expenses?,show_expenses,
show expenses for April,show_by_month,
Refueled my bike for 850 rupees,add_expense,
record 2974 earned from part-time job on 19 April,add_income,
How much did I spend on clothing?,show_by_category,
Can you show my expenses?,show_expenses,
Bus ticket cost me 120,add_expense,
I want to see where my money went,show_expenses,
how much did I spend in april,show_by_month,
I got 1000 from an online refund,add_income,
Give me the list of all expenses,show_expenses,
I was paid 1050 rupees today,add_income,
Refunded 500 rupees from an overpayment,add_income,
Give me the list of all expenses,show_expenses,
add 525 for entertainment on 22 February,add_expense,
Gave 90 rupees for snacks,add_expense,
income of 674 from scholarship on 10 November,add_income,
income of 1095 from scholarship on 12 March,add_income,
